id,name,old_id,hls,ff,bm,sl,photo
1,Flobi,65,46.32,1,0.16,0.674,
2,Mabu,122,37.56,1,0.159,0.139,
3,TelUBee,149,9.4,0.631,0.073,0,
4,E3,137,31.32,0.875,0.768,0.042,
5,PaPeRo,56,16.92,0.712,0.253,0.075,
6,Anette,59,10.4,0.327,0.187,0.092,
7,Poppy,27,37.56,0.35,0.961,0.021,
8,Muu,48,4.52,0.333,0,0.022,
9,Ewya,110,4.22,0.1,0.028,0,
10,Jia Jia,1,93.26,1,0.975,0.99,
11,Cozmo,70,13.87,0.767,0.178,0.101,
12,HomeMate,133,9.08,0.25,0.683,0.043,
13,Nexi,33,44.09,1,0.613,0.358,
14,Jibo,8,1.44,0.106,0.013,0.021,
15,SnapBot,2,6.04,0.543,0,0.089,
16,TJ-Bot,66,9.04,0.966,0.424,0.053,
17,Qrio,54,45.96,0.673,0.799,0.063,
18,Franka-Emika,82,8.48,0.05,0.311,0.01,
19,Mykie,85,5.6,0.567,0.107,0.022,
20,DRU,103,6.28,0.638,0.067,0,
21,Clocky,182,3.26,0.154,0.053,0.01,
22,Kodomoroid,195,93.44,1,0.907,0.98,
23,Aerial Bipedal,220,5.6,0.07,0.24,0,
24,Geminoid-H1-4,198,92.6,0.982,1,1,
25,Big-i,75,5.3,0.233,0.025,0.097,
26,Nadine,239,96.95,1,0.99,0.99,
27,Ethon2,170,7.65,0.47,0.082,0.031,
28,Gazeroid,242,89.75,1,0.93,0.92,
29,UR3,173,6.08,0.033,0.084,0,
30,Ontonaroid,196,88.74,1,0.911,0.941,
31,Erica,197,89.6,0.982,0.933,0.954,
32,Sociable-Trashbox,169,4.35,0.15,0.025,0.03,
33,PadBot,174,4.13,0.055,0.043,0,
34,Misty,219,32.45,0.911,0.317,0.182,
35,Kibo,167,43.74,0.983,0.919,0.236,
36,Sphero,176,2.36,0.232,0,0.02,
37,Human Support Robot Mobile,216,9.85,0.16,0.33,0.01,
38,Mero,171,23.52,0.982,0.04,0.289,
39,Ollie,177,3.64,0.13,0.057,0,
40,Keecker,181,3.04,0.178,0.013,0,
